user_id	user_int
U205518	0
U124975	1
U84531	2
U67086	3
U18513	4
U77423	5
U29264	6
U80049	7
U22483	8
U30488	9
U115702	10
U82495	11
U27279	12
U5521	13
U137516	14
U85673	15
U13390	16
U32682	17
U2592	18
U81362	19
U24085	20
U44874	21
U12262	22
U177172	23
U119822	24
U217162	25
U24460	26
U23128	27
U4662	28
U110712	29
U71043	30
U3710	31
U559	32
U78702	33
U106723	34
U130068	35
U19997	36
U13620	37
U184076	38
U13630	39
U145506	40
U20554	41
U10752	42
U81332	43
U8473	44
U32277	45
U88358	46
U17891	47
U176812	48
U171400	49
U14273	50
U112166	51
U23215	52
U93920	53
U142400	54
U54900	55
U20002	56
U87064	57
U23237	58
U35824	59
U42117	60
U116879	61
U84852	62
U10130	63
U32290	64
U16535	65
U12615	66
U53636	67
U55396	68
U129258	69
U107172	70
U30692	71
U905	72
U4502	73
U16699	74
U111220	75
U24296	76
U116950	77
U191302	78
U174053	79
U49370	80
U14011	81
U104213	82
U36487	83
U9980	84
U225864	85
U1022	86
U85546	87
U71747	88
U6576	89
U83246	90
U78821	91
U105218	92
U17320	93
U32254	94
U220317	95
U4007	96
U2440	97
U2950	98
U24771	99
U94938	100
U19329	101
U81400	102
U92907	103
U315	104
U37652	105
U88832	106
U147133	107
U4829	108
U163566	109
U35109	110
U14175	111
U7501	112
U36858	113
U166857	114
U53583	115
U76735	116
U43943	117
U6650	118
U72159	119
U77461	120
U165959	121
U23848	122
U4381	123
U44547	124
U1256	125
U122718	126
U109351	127
U222812	128
U122608	129
U98235	130
U123479	131
U110478	132
U17123	133
U130588	134
U1609	135
U56763	136
U13961	137
U507	138
U8963	139
U205086	140
U192	141
U21286	142
U249	143
U162596	144
U45245	145
U105427	146
U179179	147
U42160	148
U13259	149
U46128	150
U77705	151
U117572	152
U30688	153
U162282	154
U24729	155
U36829	156
U20010	157
U213108	158
U30587	159
U43125	160
U91797	161
U159193	162
U86154	163
U101976	164
U2988	165
U53514	166
U45592	167
U128224	168
U38737	169
U110597	170
U1298	171
U157045	172
U85943	173
U59231	174
U37325	175
U164367	176
U26838	177
U32594	178
U44754	179
U84733	180
U2403	181
U72650	182
U75966	183
U12376	184
U97729	185
U49753	186
U2773	187
U11804	188
U113958	189
U153130	190
U2231	191
U25385	192
U64742	193
U87827	194
U31177	195
U201371	196
U81962	197
U65482	198
U9672	199
U51872	200
U23120	201
U13673	202
U37457	203
U6821	204
U121639	205
U153066	206
U102777	207
U99908	208
U123105	209
U186455	210
U204122	211
U995	212
U37241	213
U20135	214
U9451	215
U42010	216
U6776	217
U7070	218
U196802	219
U54923	220
U70641	221
U40611	222
U55130	223
U45708	224
U27943	225
U105792	226
U4190	227
U151599	228
U39419	229
U60314	230
U173063	231
U35110	232
U116305	233
U73459	234
U15274	235
U27568	236
U35487	237
U37817	238
U108119	239
U1622	240
U17920	241
U42565	242
U216643	243
U36305	244
U126125	245
U92516	246
U78365	247
U1981	248
U7706	249
U82592	250
U121695	251
U87864	252
U71002	253
U75884	254
U92360	255
U36351	256
U13010	257
U109730	258
U59672	259
U142664	260
U3277	261
U122421	262
U60556	263
U73331	264
U114216	265
U12716	266
U34559	267
U16471	268
U77798	269
U6572	270
U12667	271
U106390	272
U48240	273
U73920	274
U28910	275
U110079	276
U32095	277
U85423	278
U66522	279
U9721	280
U9132	281
U44430	282
U18975	283
U45892	284
U3289	285
U82607	286
U78787	287
U42296	288
U27711	289
U25378	290
U92390	291
U4805	292
U19310	293
U61635	294
U43728	295
U125297	296
U183317	297
U3533	298
U25088	299
U19820	300
U133852	301
U10815	302
U97219	303
U120380	304
U41855	305
U16740	306
U88478	307
U156886	308
U13302	309
U7348	310
U814	311
U76802	312
U13142	313
U18140	314
U132755	315
U80457	316
U58970	317
U6626	318
U31903	319
U11343	320
U1304	321
U43317	322
U56607	323
U200141	324
U26064	325
U12254	326
U37713	327
U14723	328
U39484	329
U22216	330
U157560	331
U33813	332
U77184	333
U23752	334
U39626	335
U1404	336
U1307	337
U2126	338
U85518	339
U23750	340
U34392	341
U27903	342
U38881	343
U140869	344
U119890	345
U11050	346
U22811	347
U51541	348
U91215	349
U202135	350
U1143	351
U131362	352
U1948	353
U80008	354
U31645	355
U71136	356
U227806	357
U179780	358
U46232	359
U12929	360
U117535	361
U19259	362
U7858	363
U14659	364
U138082	365
U49293	366
U57092	367
U70869	368
U104990	369
U35863	370
U2492	371
U49	372
U5006	373
U84705	374
U4977	375
U25669	376
U19867	377
U123436	378
U1192	379
U37941	380
U10714	381
U97140	382
U85535	383
U18636	384
U120893	385
U15571	386
U46894	387
U56264	388
U70084	389
U103081	390
U2220	391
U200103	392
U6595	393
U141338	394
U24410	395
U5334	396
U3078	397
U94251	398
U93338	399
U21535	400
U6599	401
U17533	402
U118659	403
U52100	404
U225321	405
U46846	406
U20762	407
U2689	408
U116878	409
U139389	410
U95215	411
U70060	412
U107705	413
U31897	414
U12996	415
U28117	416
U11683	417
U1408	418
U81902	419
U19243	420
U77727	421
U15056	422
U18964	423
U46586	424
U165342	425
U1607	426
U98069	427
U2053	428
U69269	429
U105214	430
U8042	431
U29431	432
U69005	433
U16220	434
U32229	435
U26072	436
U48759	437
U26925	438
U74201	439
U109308	440
U40037	441
U22017	442
U39860	443
U61842	444
U134858	445
U44351	446
U38790	447
U11199	448
U14361	449
U23995	450
U104266	451
U20982	452
U29754	453
U63302	454
U25837	455
U48700	456
U27452	457
U7318	458
U5618	459
U118609	460
U104964	461
U116046	462
U29034	463
U27643	464
U75378	465
U49114	466
U16469	467
U31454	468
U134968	469
U6275	470
U90041	471
